schoolid,tracking,bottomhalf,scoreendfirstgrade
430,1,1,-1.111392
430,1,1,-1.4037104
430,1,1,-.34807268
430,1,1,-.70543778
430,1,1,-.85904211
430,1,1,-.3606118
430,1,1,.36038798
430,1,1,-.19681945
430,1,1,.019480512
430,1,1,.13390005
430,1,1,.087662004
430,1,1,-.49619105
430,1,1,-.4170379
430,1,1,-1.1772224
430,1,1,.05944895
430,1,1,-.30888784
430,1,1,.43797371
430,1,1,-.98756808
430,1,1,-1.0283203
430,1,1,-.32064325
430,1,1,-.81515515
430,1,1,-.95386922
430,1,1,-.7140584
430,1,1,.085310966
430,1,1,.19424461
430,1,1,-.040864058
430,1,1,-.21014227
430,1,0,-.22268137
430,1,0,-.4797335
430,1,0,-1.119229
430,1,0,-.34728897
430,1,0,-.68819642
430,1,0,-.58083016
430,1,0,.075122908
430,1,0,-.012651004
430,1,0,.26007497
430,1,0,-.60512477
430,1,0,-.23522048
430,1,0,-.81593877
430,1,0,-.4609248
430,1,0,.92229772
430,1,0,.20991857
430,1,0,-.27989119
430,1,0,1.3078759
430,1,0,1.8674343
430,1,0,.00067180925
430,1,0,-.087885812
430,1,0,.045342423
430,1,0,-.38490626
430,1,0,2.0320103
430,1,0,.9599151
430,1,0,-.70700514
430,1,0,.65192264
432,1,1,-.48992157
432,1,1,-.98443329
432,1,1,-.99070287
432,1,1,-1.0361573
432,1,1,-.5471313
432,1,1,-1.0870974
432,1,1,-.85277247
432,1,1,-.47659865
432,1,1,-1.0816115
432,1,1,-.43114433
432,1,1,-1.1254985
432,1,1,-.66155082
432,1,1,.038289215
432,1,1,-.98286599
432,1,1,-.13960963
432,1,1,-.2430575
432,1,1,.42621842
432,1,1,-.69916821
432,1,1,.33060771
432,1,1,-.76186383
432,1,1,-.30732054
432,1,1,-.81672251
432,1,1,-.75872904
432,1,1,-.66938776
432,1,1,.39800537
432,1,1,.70678133
432,1,0,-.091020562
432,1,0,.099417493
432,1,0,-.29948351
432,1,0,.23813152
432,1,0,-1.1490093
432,1,0,.3180685
432,1,0,.88389659
432,1,0,.63624883
432,1,0,-.15685092
432,1,0,.13154891
432,1,0,.032803323
432,1,0,.19894679
432,1,0,1.2600704
432,1,0,-.10355966
432,1,0,-.10042492
432,1,0,-.74462253
